iter	MultiClass
0	3.231258636
1	2.952592179
2	2.633905665
3	2.443027111
4	2.221411193
5	2.073635412
6	1.891302171
7	1.775815224
8	1.666789653
9	1.589979635
10	1.526160137
11	1.470047115
12	1.424590101
13	1.375336988
14	1.321734554
15	1.283755925
16	1.231891439
17	1.181585949
18	1.14075929
19	1.101391494
20	1.073369078
21	1.049432903
22	1.02436393
23	0.9944238726
24	0.961402815
25	0.9379911902
26	0.9010373843
27	0.864767099
28	0.836942998
29	0.8180572194
30	0.8028630851
31	0.7868910636
32	0.7788455517
33	0.7701910507
34	0.7535619174
35	0.7398704629
36	0.7307882212
37	0.7231473488
38	0.7116987572
39	0.7007542099
40	0.6871168645
41	0.6787219845
42	0.6701912251
43	0.6644837962
44	0.6581108547
45	0.6495135455
46	0.6437938356
47	0.6376485309
48	0.6336901979
49	0.6282432219
50	0.6229916898
51	0.6182068504
52	0.6123114816
53	0.6081441241
54	0.6039280003
55	0.5999375465
56	0.5959847785
57	0.5920566666
58	0.5870869826
59	0.5830489078
60	0.5786325565
61	0.5721050595
62	0.5667687394
63	0.5627355763
64	0.5587341294
65	0.5551443837
66	0.5512337861
67	0.5481023842
68	0.5442760269
69	0.5405203217
70	0.5374244442
71	0.5313299246
72	0.5279800335
73	0.524718662
74	0.5219951623
75	0.5188638993
76	0.5153070369
77	0.5117633978
78	0.5086926605
79	0.5054604257
80	0.502811668
81	0.4990634155
82	0.4961537708
83	0.4929098755
84	0.4895062402
85	0.4859553593
86	0.4830117323
87	0.480033955
88	0.4764677466
89	0.4735415414
90	0.4708265652
91	0.4677443992
92	0.4646596043
93	0.4611820796
94	0.4585807269
95	0.4562515344
96	0.4538321017
97	0.4514816238
98	0.4488874782
99	0.4462077284
100	0.4432151397
101	0.4405686641
102	0.4375713491
103	0.4348533388
104	0.432350281
105	0.4297450241
106	0.4272619584
107	0.4249473552
108	0.4228706095
109	0.4169849567
110	0.4141851005
111	0.4115051801
112	0.4088803318
113	0.4063961092
114	0.4043854555
115	0.3997058338
116	0.3970765705
117	0.3947367143
118	0.3924629511
119	0.3904115405
120	0.3898187641
121	0.387736522
122	0.3858077078
123	0.3833545054
124	0.3813117753
125	0.3798262816
126	0.3776109067
127	0.3755321564
128	0.3743573675
129	0.3720810775
130	0.3702842063
131	0.3687532758
132	0.3671988857
133	0.3651234718
134	0.3627586989
135	0.3603618984
136	0.3584948256
137	0.3563096645
138	0.353930357
139	0.3518482337
140	0.350563951
141	0.348684053
142	0.3465219991
143	0.3447614306
144	0.3428283396
145	0.341235611
146	0.3405630128
147	0.3383856573
148	0.3362272952
149	0.3346860881
150	0.3326625856
151	0.3312413399
152	0.329345164
153	0.3277998134
154	0.326149513
155	0.3243685253
156	0.3228733408
157	0.3211980038
158	0.3194854482
159	0.3180346633
160	0.3160451735
161	0.3139207773
162	0.3123240664
163	0.3105516219
164	0.3094251666
165	0.3080505688
166	0.3070536234
167	0.3050967651
168	0.3034307683
169	0.3015387083
170	0.3001035711
171	0.2988862984
172	0.2972336618
173	0.2961144176
174	0.2951173925
175	0.2933778189
176	0.2916593892
177	0.2903800384
178	0.288620984
179	0.2870637534
180	0.2860464307
181	0.2854051955
182	0.2839258952
183	0.282426124
184	0.2811325239
185	0.2798643328
186	0.2786965167
187	0.2771095929
188	0.2755272683
189	0.2740146704
190	0.2726798145
191	0.268436567
192	0.2670852201
193	0.2659843516
194	0.2652200119
195	0.2642401877
196	0.2629063679
197	0.2622408829
198	0.2616152782
199	0.2610614494
200	0.2596158881
201	0.2583583425
202	0.2570430432
203	0.2559179965
204	0.2545465453
205	0.2535243186
206	0.2519783284
207	0.2510532479
208	0.2499783966
209	0.2485145847
210	0.2479463903
211	0.2464921294
212	0.245285127
213	0.2445011794
214	0.2436857006
215	0.2427427792
216	0.2419410767
217	0.2416633586
218	0.2405149457
219	0.2392073123
220	0.2378062555
221	0.2366338397
222	0.235506571
223	0.2342152352
224	0.2330812871
225	0.2322750273
226	0.2314684028
227	0.2311813097
228	0.2299375602
229	0.228611486
230	0.2273540329
231	0.2261743674
232	0.2249943522
233	0.2243482108
234	0.2236158215
235	0.222903684
236	0.2225829883
237	0.221606034
238	0.2204035735
239	0.2174312186
240	0.2163409432
241	0.2155788072
242	0.2144748474
243	0.2132439928
244	0.2122457116
245	0.2112777996
246	0.2101039387
247	0.20887187
248	0.2077912721
249	0.2070086984
250	0.2064077212
251	0.205506103
252	0.2044304075
253	0.2033796381
254	0.2025662794
255	0.201601745
256	0.2007598063
257	0.2003224823
258	0.2001839248
259	0.1997191031
260	0.1987338856
261	0.1978724077
262	0.1972591641
263	0.1961585803
264	0.1952809217
265	0.1944462116
266	0.1937135746
267	0.1929457735
268	0.1918411942
269	0.1914856594
270	0.1904642262
271	0.1896144229
272	0.1887130089
273	0.1878983537
274	0.1870986959
275	0.186007122
276	0.1851000817
277	0.1842458301
278	0.1834852072
279	0.1825283664
280	0.1818682655
281	0.1810877126
282	0.1802941821
283	0.1800983284
284	0.1791683764
285	0.178810162
286	0.1779184589
287	0.177160877
288	0.1765692705
289	0.1757400512
290	0.1752350067
