iter	Passed	Remaining
0	334	334518
1	507	253454
2	695	231298
3	870	216737
4	969	192963
5	1136	188332
6	1307	185471
7	1477	183259
8	1661	182948
9	1834	181568
10	2018	181505
11	2183	179751
12	2351	178519
13	2516	177248
14	2701	177368
15	2899	178321
16	3084	178380
17	3270	178414
18	3453	178332
19	3621	177459
20	3797	177024
21	3982	177057
22	4159	176687
23	4332	176172
24	4510	175908
25	4681	175394
26	4876	175750
27	5058	175594
28	5235	175310
29	5404	174759
30	5579	174399
31	5754	174075
32	5943	174148
33	6106	173497
34	6280	173161
35	6447	172651
36	6624	172420
37	6794	172012
38	6964	171606
39	7159	171817
40	7343	171758
41	7514	171398
42	7694	171244
43	7868	170969
44	8047	170792
45	8215	170384
46	8409	170513
47	8605	170671
48	8803	170867
49	8993	170877
50	9191	171039
51	9370	170822
52	9554	170713
53	9733	170521
54	9948	170926
55	10138	170910
56	10329	170894
57	10505	170624
58	10694	170573
59	10898	170744
60	11083	170607
61	11254	170266
62	11426	169949
63	11593	169555
64	11796	169682
65	11970	169402
66	12148	169178
67	12315	168796
68	12496	168615
69	12674	168384
70	12853	168188
71	13025	167884
72	13191	167509
73	13363	167222
74	13534	166924
75	13711	166697
76	13892	166530
77	14060	166201
78	14232	165921
79	14397	165567
80	14568	165294
81	14731	164918
82	14938	165048
83	15107	164746
84	15286	164559
85	15452	164231
86	15627	163994
87	15799	163742
88	15983	163609
89	16152	163319
90	16324	163061
91	16493	162781
92	16687	162751
93	16857	162475
94	17038	162316
95	17195	161921
96	17373	161734
97	17543	161467
98	17721	161283
99	17884	160956
100	18069	160833
101	18248	160660
102	18430	160505
103	18594	160197
104	18774	160033
105	18951	159837
106	19133	159681
107	19301	159414
108	19484	159269
109	19647	158967
110	19826	158789
111	20002	158591
112	20179	158398
113	20340	158081
114	20516	157885
115	20673	157542
116	20864	157463
117	21045	157307
118	21219	157097
119	21392	156874
120	21575	156730
121	21745	156498
122	21954	156538
123	22125	156305
124	22312	156188
125	22481	155941
126	22654	155724
127	22819	155455
128	23003	155318
129	23176	155105
130	23355	154932
131	23524	154694
132	23726	154670
133	23894	154423
134	24066	154207
135	24235	153964
136	24436	153929
137	24616	153761
138	24801	153626
139	24984	153474
140	25172	153356
141	25339	153108
142	25547	153106
143	25733	152973
144	25930	152902
145	26108	152718
146	26299	152605
147	26484	152462
148	26673	152344
149	26842	152108
150	27031	151983
151	27225	151887
152	27411	151751
153	27586	151545
154	27775	151421
155	27946	151199
156	28129	151041
157	28297	150799
158	28483	150659
159	28644	150381
160	28825	150212
161	28993	149977
162	29170	149791
163	29340	149564
164	29535	149466
165	29708	149257
166	29898	149134
167	30066	148899
168	30270	148843
169	30478	148807
170	30694	148805
171	30903	148768
172	31085	148601
173	31271	148449
174	31446	148248
175	31638	148127
176	31808	147901
177	32031	147922
178	32202	147699
179	32396	147584
180	32563	147345
181	32743	147164
182	32935	147039
